id,producto,titular,registrosanitario,fechaexpedicion,fechavencimiento,estadoregistro,expedientecum,consecutivocum,cantidadcum,descripcioncomercial,estadocum,fechaactivo,fechainactivo,muestramedica,unidad,atc,descripcionatc,viaadministracion,concentracion,principioactivo,unidadmedida,cantidad,unidadreferencia,formafarmaceutica,nombrerol,tiporol,modalidad
1166,PROCTO - GLYVENOL® SUPOSITORIOS,GLAXOSMITHKLINE CONSUMER HEALTHCARE COLOMBIA S.A.S,INVIMA 2018 M-011163-R2,07/10/1998,07/05/2023,Vigente,227028,1,5,CAJA DE CARTON CON TIRA DE ALUMINIO-POLIETILENO X 5 SUPOSITORIOS,Activo,11/10/2006,N/A,No,U,N01BB52,LIDOCAINA COMBINACIONES,RECTAL,A,TRIBENOSIDO,mg,400,SUPOSITORIO,SUPOSITORIO,NOVARTIS DE COLOMBIA S.A.,IMPORTADOR,IMPORTAR Y VENDER
1167,KEPPRA ® TABLETAS 500 MG,GLAXOSMITHKLINE TRADING SERVICES LIMITED,INVIMA 2019M-0002928-R2,11/28/2003,07/29/2024,Vigente,19936412,2,30,CAJA POR 30 TABLETAS EN BLISTER PVC/ALUMINIO,Activo,11/10/2006,N/A,No,U,N03AX14,LEVETIRACETAM,ORAL,A,LEVETIRACETAM,mg,500,TABLETA CUBIERTA,TABLETA RECUBIERTA,GLAXOSMITHKLINE COLOMBIA S.A.,IMPORTADOR,IMPORTAR Y VENDER
1168,DAFLON 1000MG. SUSPENSIÓN ORAL,LES LABORATOIRES SERVIER,INVIMA 2015M-0016408,10/16/2015,11/04/2020,Vigente,20079787,3,30,CAJA X30 SACHETS DE 10 ML CADA UNO,Activo,05/28/2015,N/A,No,U,C05CA53,DIOSMIN COMBINACIONES,ORAL,A,FRACCIÓN FLAVONOIDE PURIFICADA Y MICRONIZADA (CORRESPONDIENDO A DIOSMINA: 90% 900 MG FLAVONOIDES EXPRESADOS EN HESPERIDINA: 10% 100 MG),mg,"1,000",SACHET DE 10ML,SUSPENSION ORAL,UNITHER LIQUID MANUFACTURING,FABRICANTE,IMPORTAR Y VENDER
1169,TRIALON®,LABORATORIOS SYNTHESIS S.A.S.,INVIMA 2015M-0016399,10/16/2015,01/21/2021,Vigente,20087525,1,1,CAJA PLEGADIZA DE CARTÓN CON UN FRASCO PEBD + BOMBA OFTÁLMICA OSD EN PP/PE/TPE/PTFE/PEBD/ACERO INOXIDABLE X 10ML DE SOLUCIÓN.,Activo,05/20/2015,N/A,No,U,S01ED51,TIMOLOL COMBINACIONES,CONJUNTIVAL,C,DORZOLAMIDA CORHIDRATO EQUIVALENTE A DORZOLAMIDA,mg,20,SIN DATO,SOLUCION OFTALMICA,LABORATORIOS SYNTHESIS S.A.S.,FABRICANTE,FABRICAR Y VENDER
1170,OLIMEL N9 E,LABORATORIOS BAXTER S.A.,INVIMA 2018M-0012867-R1,02/09/2012,01/04/2024,Vigente,20033258,2,1,BOLSA DE PLÁSTICO MULTIESTRATIFICADA DE COPOLIMERO POLI-EP / EVA / PCCE CON TRES COMPARTIMENTOS POR 1500 ML,Activo,02/07/2012,N/A,No,U,B05BA10,COMBINACIONES,INTRAVENOSA,C,ARGININA,g,0.558,CADA 100 ML,EMULSION INYECTABLE,BAXTER S.A.,FABRICANTE,IMPORTAR Y VENDER
1171,ENTEROGERMINA®PLUS,SANOFI AVENTIS DE COLOMBIA S.A.,INVIMA 2015M-0016328,09/25/2015,10/14/2020,Vigente,20078798,2,7,CAJA DE CARTÓN QUE CONTIENE 7 FRASCOS DE 5ML,Activo,09/14/2015,N/A,No,U,A07FA03,BACILLUS CLAUSII,ORAL,A,ESPORAS DE BACILLUS LAUSII 4000 MILLONES (4 MILLARDOS)/ 5ML,million unit,"4,000",5 ML DE SUSPENSION ORAL,SUSPENSION ORAL,CERBIOS PHARMA S.A,FABRICANTE,IMPORTAR Y VENDER
1172,CARDIXIL HCT® 80/12.5 MG.,PROCAPS S.A.,INVIMA 2015M-0016242,09/07/2015,09/24/2020,Vigente,20090897,5,10,CAJA X 10 TABLETAS. EN BLÍSTER ALUMINIO/ALUMINIO POR 10 TABLETAS.,Activo,08/21/2015,N/A,No,U,C09DA07,TELMISARTAN Y DIURETICOS,ORAL,A,TELMISARTAN,mg,80,TABLETA,TABLETA,PROCAPS S.A.,IMPORTADOR,IMPORTAR Y VENDER
1173,XEFO® RAPID 8 MG,TAKEDA S.A.S,INVIMA 2016M-0017479,12/07/2016,12/30/2021,Vigente,20097796,7,50,CAJA POR 50 TABLETAS RECUBIERTAS EN BLISTER DE ALUMINIO / ALUMINIO.,Activo,03/02/2016,N/A,No,U,M01AC05,LORNOXICAM,ORAL,A,LORNOXICAM,mg,8,TABLETA RECUBIERTA,TABLETA RECUBIERTA,TAKEDA S.A.S.,IMPORTADOR,IMPORTAR Y VENDER
1174,LAMETEC 200 MG - TABLETA,PINT PHARMA COLOMBIA S.A.S,INVIMA 2018M-0005968-R1,06/29/2006,02/05/2023,Vigente,19963317,5,10,MUESTRA MÉDICA SOBRE POR 10 TABLETAS EN BLISTER ALUMINIO/PVC (TRANSPARENTE),Activo,10/05/2011,N/A,Si,U,N03AX09,LAMOTRIGINA,ORAL,A,LAMOTRIGINA,mg,200,TABLETA,TABLETA,CIPLA LTD,FABRICANTE,IMPORTAR Y VENDER
1175,KETOCONAZOL TABLETAS 200 MG,LABORATORIO PROFESIONAL FARMACEUTICO LAPROFF S.A.,INVIMA 2017M-0000377-R2,07/12/2001,11/23/2022,Vigente,19918847,3,10,CAJA X10 TABLETAS EN BLISTER Y BOLSA.,Inactivo,11/10/2006,08/11/2011,No,U,J02AB02,KETOCONAZOL,ORAL,A,KETOCONAZOL,mg,200,TABLETA,TABLETA,LABORATORIO PROFESIONAL FARMACEUTICO LAPROFF S.A.,FABRICANTE,FABRICAR Y VENDER
1176,FLEXURE® POLVO,PROCAPS S.A.,INVIMA 2018M-0001690-R2,08/01/2002,12/19/2023,Vigente,19930724,7,2,CAJA POR 2 SOBRES POLIÉSTER-ALUMINIO POLIETILENO DE 4.7G DEL SABOR NARANJA (MUESTRA MEDICA),Activo,03/06/2013,N/A,Si,U,M01AX05,GLUCOSAMINA,ORAL,A,D-GLUCOSAMINA SULFATO SAL SÓDICA 1.884194 G EQUIVALENTE A SULFATO DE GLUCOSAMINA,mg,"1,500",SOBRE,POLVO PARA RECONSTITUIR A SOLUCION ORAL,PRODUCTORA DE CAPSULAS DE GELATINA S. A.  PROCAPS S. A.,FABRICANTE,FABRICAR Y VENDER
1177,FLEXIMAX® NAP TABLETA RECUBIERTA,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,INVIMA 2019M-0015541-R1,12/12/2014,01/31/2025,Vigente,20072221,1,10,CAJA X 10 TABLETAS RECUBIERTAS. EN BLÍSTER ALUMINIO/ALUMINIO X 5 TABLETAS RECUBIERTAS CADA UNO.,Activo,09/03/2014,N/A,No,U,M03BX51,COMBINACIONES TIOCOLCHICOSIDO,ORAL,A,NAPROXENO SÓDICO EQUIVALENTE A NAPROXENO,mg,250,TABLETA RECUBIERTA,TABLETA CUBIERTA CON PELICULA,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,FABRICANTE,FABRICAR Y VENDER
1178,NAPROXENO SODICO 275 MG,TECNOQUIMICAS S.A.,INVIMA 2018M-012687-R3,11/06/1991,04/02/2025,Vigente,43731,20,5,MUESTRA MEDICA: CAJA PLEGADIZA POR 5 TABLETAS CUBIERTAS EN BLISTER PVC-PVDC/ALUMINIO POR 5 TABLETAS CUBIERTAS.,Activo,04/24/2008,N/A,Si,U,M01AE02,NAPROXENO,ORAL,A,NAPROXENO SODICO,mg,275,TABLETA CUBIERTA,TABLETA CUBIERTA CON PELICULA,TECNOQUIMICAS S.A. (PLANTA JAMUNDI),FABRICANTE,FABRICAR Y VENDER
1179,COTASAR® PLUS 100/25 TABLETAS RECUBIERTAS.,ALTADIS FARMACEUTICA S.A.S.,INVIMA 2016M-0017426,11/04/2016,11/25/2021,Vigente,20101902,11,2,MUESTRA MEDICA: CAJA DE CARTÓN POR 2 TABLETAS RECUBIERTAS EN BLISTER ALU/PVC BLANCO OPACO.,Activo,06/24/2016,N/A,Si,U,C09DA01,LOSARTAN Y DIURETICOS,ORAL,A,LOSARTAN POTASICO,mg,100,TABLETA RECUBIERTA,TABLETA RECUBIERTA,ALTADIS FARMACEUTICA S.A.S.,IMPORTADOR,IMPORTAR Y VENDER
1180,DAIVOBET UNGUENTO,LEO PHARMA A/S,INVIMA 2019M-0003064-R2,02/03/2004,07/29/2024,Vigente,19937177,5,1,CAJA POR UN TUBO EN ALUMINIO POR 100 G.,Activo,11/10/2006,N/A,No,U,D05AX52,CALCIPOTRIOL COMBINACIONES,TOPICA (EXTERNA),D,BETAMETASONA DIPROPIONATO 0.643MG EQUIVALENTE A BETAMETASONA,mg,0.5,1G.,UNGUENTO TOPICO,LABORATORIOS BIOPAS S.A.,IMPORTADOR,IMPORTAR Y VENDER
1181,MARTESIA® 25 MG,SCANDINAVIA PHARMA LTDA.,INVIMA 2015M-0011349-R1,09/16/2010,12/18/2020,Vigente,20015000,7,2,M.MEDIC: CAJA POR 2 CAPSULAS DURAS EN BLISTER PVC/ACLAR-ALUMINIO,Inactivo,06/16/2010,N/A,Si,U,N03AX16,PREGABALINA,ORAL,A,PREGABALINA,mg,25,CAPSULA DURA,CAPSULA DURA,ROEMMERS S.A.,FABRICANTE,IMPORTAR Y VENDER
1182,BUCALIV®PLUS TABLETA MASTICABLE,BIOTECNIK S.A.S.,INVIMA 2018M-0018637,12/14/2018,01/29/2024,Vigente,20126444,13,24,CAJA X 24 TABLETAS MASTICABLES SABOR A CEREZA EN BLISTER LAMINADO ALU/ALU MAS PAPEL ALUMINIO EN CAJA DE CARTON,Activo,10/18/2018,N/A,No,U,R02AD01,BENZOCAINA,BUCAL,A,PIRIDINIO CLORURO,mg,1.4,TABLETA MASTICABLE,TABLETA MASTICABLE,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,FABRICANTE,FABRICAR Y VENDER
1183,BONAMES® CAPSULAS DE GELATINA BLANDA,FARMA DE COLOMBIA S.A.S.,INVIMA 2010M-0010628,03/31/2010,04/21/2020,Vigente,20012684,3,2,CAJA X 2 SOBRES PORTA BLISTER X 1 BLISTER DE ALUMINIO - PVDC X 1 CAPSULA BLANDA DE GELATINA.,Activo,03/14/2011,N/A,No,U,M05BA06,IBANDRONICO ACIDO,ORAL,A,IBANDRONATO SODICO MONOHIDRATADO EQUIVALENTE A ACIDO IBANDRONICO,mg,150,CAPSULA BLANDA DE GELATINA,CAPSULA BLANDA,PROCAPS S.A.,FABRICANTE,FABRICAR Y VENDER
1184,LOSARTAN / AMLODIPINO 100/5 MG,LABORATORIOS MK S.A.S.,INVIMA 2018M-0018105,04/05/2018,04/27/2023,Vigente,20114964,13,300,CAJA PLEGADIZA POR 300 TABLETAS CUBIERTAS EN BLISTER ALU/ALU,Activo,04/02/2018,N/A,No,U,C09CA01,LOSARTAN,ORAL,A,AMLODIPINO BESILATO EQUIVALENTE A AMLODIPINO BASE,mg,5,SIN DATO,TABLETA RECUBIERTA,TECNOQUIMICAS S.A. (PLANTA JAMUNDI),FABRICANTE,FABRICAR Y VENDER
1185,TAFLAX GRIP,CLOSTER PHARMA S.A.S.,INVIMA 2016M-0016905,03/09/2016,04/14/2021,Vigente,20060362,2,20,BLISTER POR 10 CÁPSULAS EN CAJAS PLEGADIZA POR 2 BLISTER PVC/PVDC TRANSPARENTE - AL,Activo,06/01/2015,N/A,No,U,M01AE14,DEXIBUPROFENO,ORAL,A,LEVOCETIRIZINA DICLORHIDRATO,mg,2.5,CÁPSULA DURA,CAPSULA DURA,CLARIPACK S.A.,FABRICANTE,FABRICAR Y VENDER
1186,ISOTRETINOINA 10 MG,COLMED LTDA,INVIMA 2018M-0006942-R1,04/11/2007,04/19/2023,Vigente,19970685,6,20,CAJA POR 20 CÁPSULAS BLANDAS EN EMPAQUE INDIVIDUAL TIPO BLISTER TRIFLEX COLOR AZUL/ALUMINIO POR 10 CÁPSULAS BLANDAS CADA UNO EN SOBRE POUCH,Activo,10/23/2007,N/A,No,U,D10AD04,ISOTETRINOINA,ORAL,A,ISOTRETINOINA,mg,10,CAPSULA BLANDA,CAPSULA BLANDA,PROCAPS S.A.,FABRICANTE,FABRICAR Y VENDER
1187,AZITROMICINA 500 MG,AMERICAN GENERICS S.A.S.,INVIMA 2016M-014991-R2,12/16/1999,12/05/2021,Vigente,19908252,2,10,CAJA DE CARTÓN X 10 TABLETAS CON 1 BLISTER PVC INCOLORO MÁS PAPEL DE ALUMINIO POR 10 TABLETAS,Activo,11/10/2006,N/A,No,U,J01FA10,AZITROMICINA,ORAL,A,AZITROMICINA DIHIDRATO 524.0 MG EQUIVALENTE A AZITROMICINA BASE,mg,500,TABLETA RECUBIERTA,TABLETA RECUBIERTA,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,FABRICANTE,FABRICAR Y VENDER
1188,DEMTRIS® UNGUENTO,FAES FARMA S.A.,INVIMA 2017M-0017743,06/15/2017,07/06/2022,Vigente,20106761,1,1,MUESTRA MEDICA: CAJA DE CARTON CON TUBO DE ALUMINIO Y TAPA DE PP POR 30G.,Activo,10/04/2016,N/A,Si,U,A01AC01,TRIAMCINOLONA,TOPICA (EXTERNA),D,NISTATINA,UI,"100,000",CADA GRAMO DE UNGUENTO CONTIENE:,UNGUENTO TOPICO,LABORATORIOS VICTORIA. S.A,FABRICANTE,IMPORTAR Y VENDER
1189,CALYMAG SUSPENSION,ANGLOPHARMA S.A.,INVIMA 2010 M-011213 R2,12/16/1999,04/19/2020,Vigente,35597,1,360,FRASCO BLANCO DE POLIETILENO DE ALTA DENSIDAD POR 360 ML.,Activo,11/10/2006,N/A,No,ml,A02AF02,COMBINACIONES DE SALES Y ANTIFLATULENTOS,ORAL,B,HIDROXIDO DE MAGNESIO,g,4,100 ML,SUSPENSION ORAL,ANGLOPHARMA S.A.,FABRICANTE,FABRICAR Y VENDER
1190,DAPTOMRED 350 MG/VIAL,DR. REDDY´S LABORATORIES LIMITED,INVIMA 2018M-0018196,05/09/2018,05/25/2023,Vigente,20117950,2,10,CAJA POR 10 VIALES DE VIDRIO TIPO I CLARO. TAPÓN DE BROMOBUTILO GRIS. SELLO DE ALUMINIO Y TAPA FLIP-OFF AMARILLO,Activo,12/01/2017,N/A,No,U,J01XX09,DAPTOMICINA,INTRAVENOSA,A,DAPTOMICINA,mg,350,VIAL,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,DR. REDDY´S LABORATORIES LIMITED- FORMULATION TECHNICAL OPERATIONS (FTO) UNIT-9.,FABRICANTE,IMPORTAR Y VENDER
1191,MESTINON® TABLETAS 60 MG,LABORATORIOS GROSSMAN S.A.,INVIMA 2017M-014872-R2,11/24/2000,05/16/2022,Vigente,19908128,2,30,CAJA CON FRASCO AMBAR DE VIDRIO POR TREINTA TABLETAS,Inactivo,11/10/2006,02/03/2011,No,U,N07AA02,PIRIDOSTIGMINA,ORAL,A,BROMURO DE PIRIDOSTIGMINA,mg,60,TABLETA,TABLETA,HUMAX PHARMACEUTICAL S.A.,IMPORTADOR,IMPORTAR Y VENDER
1192,ATROPINA SULFATO SOLUCION INYECTABLE 1MG/ML,LABORATORIO BIOSANO S.A.,INVIMA 2017M-0012276-R1,06/16/2011,04/18/2022,Vigente,20028845,7,25,CAJA POR 25 AMPOLLAS DE VIDRIO BOROSILICATO TIPO I. TRANSPARENTE ROTULADOS POR 1 ML. DE SOLUCION.,Inactivo,06/15/2011,10/31/2016,No,U,A03BA01,ATROPINA,SUBCUTANEA,A,ATROPINA SULFATO,mg,1,AMPOLLA POR 1 ML.,SOLUCION INYECTABLE,LABORATORIO BIOSANO S.A.,FABRICANTE,IMPORTAR Y VENDER
1193,BUDESONIDA 0.5 MG/2ML SUSPENSION PARA INHALAR POR NEBULIZACION,FARMALUX S.A.S.,INVIMA 2018M-0018232,06/08/2018,06/25/2023,Vigente,20107076,6,20,CAJA CON 4 TIRAS DE 5 CONTENEDORES CERRADOS EN BOLSA DE ALUMINIO (TOTAL 20 CONTENEDORES MONODOSIS DE 2 ML CADA UNO).,Activo,01/31/2018,N/A,No,U,R03BA02,BUDESONIDA,INHALACION,A,BUDESONIDA,mg,0.5,SUSPENSION PARA INHALAR POR NEBULIZACION,SUSPENSION PARA NEBULIZACION,FARMALUX S.A.S.,IMPORTADOR,IMPORTAR Y VENDER
1194,VAREDET® 1000,LABORATORIO INTERNACIONAL ARGENTINO S.A.,INVIMA 2016M-0011448-R1,10/12/2010,09/15/2021,Vigente,20019125,3,50,CAJA POR 50 VIALES DE VIDRIO INCOLORO TIPO I CON TAPÓN DE BROMOBUTILO,Activo,07/21/2010,N/A,No,U,J01XA01,VANCOMICINA,INTRAVENOSA,A,VANCOMICINA CLORHIDRATO EQUIVALENTE A VANCOMICINA BASE,mg,"1,000",CADA VIAL,POLVO ESTERIL PARA RECONSTITUIR A SOLUCION INYECTABLE,LABORATORIOS SYNTHESIS S.A.S.,IMPORTADOR,IMPORTAR Y VENDER
1195,DICACINA® 500 MG / 2 ML SOLUCIÓN INYECTABLE,LABQUIFAR LTDA.,INVIMA 2016M-0011295-R1,09/07/2010,11/02/2021,Vigente,20019460,3,10,CAJA PLEGADIZA DE CARTULINA POR 10 AMPOLLAS EN VIDRIO TRANSPARENTE TIPO I.,Inactivo,06/21/2010,10/07/2016,No,U,J01GB06,AMIKACINA,INTRAMUSCULAR,A,AMIKACINA SULFATO 786.8 MG DE UNA POTENCIA DE 63.552 %. EQUIVALENTE A AMIKACINA BASE,mg,500,CADA AMPOLLA CONTIENE,SOLUCION INYECTABLE,VIDRIO TECNICO DE COLOMBIA S.A. (VITECO S.A.),FABRICANTE,FABRICAR Y VENDER
1196,DAIVOBET UNGUENTO,LEO PHARMA A/S,INVIMA 2019M-0003064-R2,02/03/2004,07/29/2024,Vigente,19937177,5,1,CAJA POR UN TUBO EN ALUMINIO POR 100 G.,Activo,11/10/2006,N/A,No,U,D05AX52,CALCIPOTRIOL COMBINACIONES,TOPICA (EXTERNA),D,CALCIPOTRIOL HIDRATO 52.2MCG EQUIVALENTE A CALCIPOTRIOL,?g,50,1G.,UNGUENTO TOPICO,LABORATORIOS BIOPAS S.A.,IMPORTADOR,IMPORTAR Y VENDER
1197,LATRIMED ® 100 MG TABLETAS DISPERSABLES,SANOFI-AVENTIS DE COLOMBIA S.A.,INVIMA 2017M-0012433-R1,07/27/2011,07/25/2022,Vigente,20020936,6,30,CAJA POR 30 TABLETAS DISPERSABLES EN BLISTER PVC/PVDC TRANSPARENTE / ALUMINIO POR 10 TABLETAS DISPERSABLES CADA UNO.,Activo,10/25/2010,N/A,No,U,N03AX09,LAMOTRIGINA,ORAL,A,LAMOTRIGINA,mg.,100,TABLETA DISPERSABLE,TABLETA DISPERSABLE,SANOFI-AVENTIS DE COLOMBIA S. A.,FABRICANTE,FABRICAR Y VENDER
1198,UREADERM® 15%,SCANDINAVIA PHARMA LTDA.,INVIMA 2019M-13781-R2,10/15/1999,02/06/2025,Vigente,30243,1,60,CAJA PLEGADIZA CARTULINA POR 1 TUBO COLAPSIBLE DE POLIETILENO MEZCLA 70/30 PEBD/PEAD POR 60 G.,Activo,11/10/2006,N/A,No,g,D02AE01,CARBAMIDA,TOPICA (EXTERNA),D,UREA,g,15,100 G DE CREMA,CREMA TOPICA,ARBOFARMA S.A.S.,FABRICANTE,FABRICAR Y VENDER
1199,DAIVOBET UNGUENTO,LEO PHARMA A/S,INVIMA 2019M-0003064-R2,02/03/2004,07/29/2024,Vigente,19937177,3,1,CAJA POR UN TUBO EN ALUMINIO POR 30 G.,Activo,11/10/2006,N/A,No,U,D05AX52,CALCIPOTRIOL COMBINACIONES,TOPICA (EXTERNA),D,CALCIPOTRIOL HIDRATO 52.2MCG EQUIVALENTE A CALCIPOTRIOL,?g,50,1G.,UNGUENTO TOPICO,LABORATORIOS BIOPAS S.A.,IMPORTADOR,IMPORTAR Y VENDER
1200,FRAGMIN 7500 UI ANTI-XA/ 0.3 ML SOLUCION INYECTABLE,PFIZER S.A.S.,INVIMA 2019M-0007519-R1,11/16/2007,12/02/2024,Vigente,19979363,2,10,CAJA PLEGADIZA POR 10 JERINGAS PRECARGADA POR 0.3 ML DE SOLUCION INYECTABLE C/U + NEEDLE TRAP OPCIONAL,Activo,07/09/2007,N/A,No,ml,B01AB04,DALTEPARINA,SUBCUTANEA,A,DALTEPARINA SÓDICA,IU,"7,500",JERINGA PRECARGADA POR 0.3 ML,SOLUCION INYECTABLE,PFIZER S.A.S.,IMPORTADOR,IMPORTAR Y VENDER
1201,GESTAVIT DHA,PROCAPS S.A.,INVIMA 2015M-0010993-R1,06/21/2010,09/11/2020,Vigente,20015204,8,1,CAJA X 120 CAPSULAS BLANDAS CON CUBIERTA ENTERICA EN 12 BLISTER AL PVDC X 10 CAPSULAS C/U,Activo,05/08/2010,N/A,No,U,A11AA01,MULTIVITAMINAS MAS HIERRO,ORAL,A,VITAMINA D3 (1.000.000 UI / G) (EQUIVALENTE A 400 UI DE VITAMINA D),mg,0.4,N/A,CÁPSULA BLANDA DE GELATINA CON CUBIERTA ENTÉRICA,PROCAPS S.A.,FABRICANTE,FABRICAR Y VENDER
1202,EXAZOL®,EXELTIS S. A.S.,INVIMA 2019M-0019137,07/12/2019,07/29/2024,Vigente,20138071,3,3,CAJA POR 3 OVULOS CONTENIDOS EN UNA TIRA ENVOLTORIA TERMOFORMADA DE PVC/PEBD,Activo,09/13/2018,N/A,No,U,G01AF04,MICONAZOL,VAGINAL,A,MICONAZOL NITRATO,mg,"1,200",OVULO,OVULO,EXELTIS S. A.S.,IMPORTADOR,IMPORTAR Y VENDER
1203,AGUA ESTERIL PARA INYECCIÓN,GENFAR S.A.,INVIMA 2018M-0006556-R1,11/01/2006,10/26/2023,Vigente,19969623,3,3,AMPOLLA DE VIDRIO TRANSPARENTE POR 3 ML,Inactivo,01/30/2007,07/10/2018,No,ml,V07ABX1,AGUA ESTERIL,PARENTERAL,A,AGUA ESTÉRIL PARA INYECCION,ml,1,1 ML,SOLUCION INYECTABLE,FAREVA VILLA RICA S.A.S.,FABRICANTE,FABRICAR Y VENDER
1204,MESIGYNA®,BAYER A.G.,INVIMA 2015 M-015153-R2,12/19/1994,12/10/2020,Vigente,51922,6,1,MUESTRA MEDICA: CAJA CON UNA JERINGA PRECARGADA DE VIDRIO POR 1 ML,Activo,12/30/2016,N/A,Si,U,G03AB04,NORETISTERONA Y ESTROGENO,PARENTERAL,A,ENANTATO DE NORETISTERONA,mg,50,1 ML,SOLUCION INYECTABLE,BAYER DE MEXICO S.A. DE C.V.,FABRICANTE,IMPORTAR Y VENDER
1205,BELLAFACE® SUAVE,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,INVIMA 2019M-0015240-R1,08/22/2014,08/14/2024,Vigente,20055000,6,56,MUESTRA MEDICA: CAJA DE CARTÓN POR 2 BLÍSTER PVDC INCOLORO/ ALUMINIO POR 28 TABLETAS RECUBIERTAS (21 TABLETAS RECUBIERTAS CON PRINCIPIO ACTIVO Y 7 TABLETAS RECUBIERTAS CON PLACEBO) CADA BLÍSTER.,Activo,10/29/2018,N/A,Si,U,G03AA16,DIENOGEST Y ETINILESTRADIOL,ORAL,A,DIENOGEST,mg,2,TABLETA RECUBIERTA,TABLETA RECUBIERTA,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,FABRICANTE,FABRICAR Y VENDER
1206,IRBEVITAE® 150 MG COMPRIMIDOS RECUBIERTOS.,GALENICUM HEALTH COLOMBIA S.A.S,INVIMA 2017M-0017947,,11/03/2021,Vigente,20097936,8,56,MUESTRA MEDICA: CAJA POR 56 COMPRIMIDOS RECUBIERTOS EN BLISTER DE ALUMINIO PVC+PVDC/AL+PVDC. INCLUYE FOLLETO DE INSTRUCCIONES PARA EL PACIENTE,Inactivo,04/25/2016,07/17/2018,Si,U,C09CA04,IRBESARTAN,ORAL,A,IRBESARTAN,mg,150,TABLETA RECUBIERTA,TABLETA RECUBIERTA,EUROPEAN PHARMA SOLUTIONS S.A.S.,IMPORTADOR,IMPORTAR Y VENDER
1207,COTASAR® 50 MG TABLETAS RECUBIERTAS.,ALTADIS FARMACEUTICA S.A.S.,INVIMA 2016M-0017429,11/09/2016,11/25/2021,Vigente,20101913,12,14,MUESTRA MEDICA: CAJA DE CARTÓN POR 14 TABLETAS RECUBIERTAS EN BLISTER ALU/PVC BLANCO OPACO,Activo,06/28/2016,N/A,Si,U,C09CA01,LOSARTAN,ORAL,A,LOSARTAN POTASICO,mg,50,TABLETA RECUBIERTA,TABLETA RECUBIERTA,ALTADIS FARMACEUTICA S.A.S.,IMPORTADOR,IMPORTAR Y VENDER
1208,SULAMP® DUO TABLETA RECUBIERTA,GALENO QUIMICA S.A.,INVIMA 2015M-0016001,07/02/2015,08/10/2020,Vigente,20077763,2,20,CAJA POR 20: 2 FOIL POR 10 TABLETAS RECUBIERTAS EN FOIL ALUMINIO/ALUMINIO.,Activo,03/11/2015,N/A,No,U,J01CR02,AMOXICILINA E INHIBIDOR ENZIMATICO,ORAL,A,AMOXICILINA,mg,875,TABLETA RECUBIERTA,TABLETA RECUBIERTA,MANUFACTURERA MUNDIAL FARMACEUTICA S.A.,FABRICANTE,FABRICAR Y VENDER
1209,ROSUVINA LEGRAND® E 10/40,LABORATORIOS LEGRAND S.A.,INVIMA 2018M-0013758-R1,11/13/2012,12/04/2023,Vigente,20043340,49,168,USO INSTITUCIONAL:CAJA POR 168 TABLETAS EN BLISTER AL/OPA/PVC-ALUMINIO,Inactivo,01/22/2016,N/A,No,U,C10AX09,EZETIMIBE,ORAL,A,EZETIMIBE,mg,10,TABLETA RECUBIERTA,TABLETA RECUBIERTA,LABORATORIOS LEGRAND S.A.,FABRICANTE,FABRICAR Y VENDER
1210,BETAFERON.,BAYER A.G.,INVIMA 2020M-006284-R2,03/21/1997,04/24/2025,Vigente,202595,3,15,MUESTRA MÉDICA: CAJA PLEGADIZA POR 15 EMPAQUES INDIVIDUALES CONTENIENDO: UN VIAL DE VIDRIO TIPO I CON POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCIÓN INYECTABLE + UNA JERINGA PRELLENADA DE VIDRIO TIPO I CON DILUENTE (CLORURO DE SODIO 0.54%)+ UN ADAPTADOR CON AGUJA+ 2 TOALLAS IMPREGNADAS EN SOLUCIÓN ALCOHOLICA.,Activo,02/10/2020,N/A,Si,U,L03AB08,INTERFERON BETA-1B,SUBCUTANEA,A,INTERFERON BETA-1B (EQUIVALENTE A 8000000 U.I./ML.),mg.,0.25,ML DE SOLUCIÓN RECONSTITUIDA,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,BOEHRINGER INGELHEIM PHARMA GMBH & CO. KG,FABRICANTE,IMPORTAR Y VENDER
1211,TOR CREMA DERMATOLOGICA,LABORATORIOS BLASKOV LTDA.,INVIMA 2020M-0007164-R1,07/09/2007,04/23/2025,Vigente,19972486,2,1,CAJA CON UN TUBO COLAPSIBLE EN ALUMINIO POR 20 G. CON TAPA EN PEAD.,Activo,03/24/2007,N/A,No,U,D07CB04,DEXAMETASONA Y ANTIBIOTICOS,TOPICA (EXTERNA),D,CLOTRIMAZOL,g,1,100 G DE CREMA,CREMA TOPICA,COLOMPACK S.A.,FABRICANTE,FABRICAR Y VENDER
